TRACTCE10,GEOID10,PercentEBLL2018,PercentEBLL2017,PercentEBLL2016,PercentEBLL2015,TotalPercentEBLL15_18
431400,42003431400,2.77777778,0,10,5.88235294,3.96039604
431500,42003431500,13.33333333,15.55555556,2.63157895,11.11111111,11.18012422
432300,42003432300,0,0,0,11.76470588,2.12765957
432400,42003432400,1.92307692,3.125,0,0,1.36986301
434000,42003434000,4.44444444,3.44827586,4,3.44827586,3.90625
435000,42003435000,1.69491525,0,0,0,0.70422535
437000,42003437000,0,0,0,0,0
439000,42003439000,0,0,0,0,0
445500,42003445500,1.88679245,2.27272727,0,2.56410256,1.75438596
446000,42003446000,5,0,14.28571429,10,5.45454545
447000,42003447000,0,0,6.66666667,0,1.78571429
448000,42003448000,0,0,0,0,0
449000,42003449000,0,0,0,0,0
450700,42003450700,2.12765957,0,0,4.16666667,1.5625
450800,42003450800,2.5,0,3.22580645,0,1.57480315
451101,42003451101,0,0,0,0,0
451102,42003451102,2.22222222,4.65116279,3.44827586,4,3.20855615
451104,42003451104,0,0,0,0,0
451105,42003451105,0,0,0,3.7037037,0.49019608
451300,42003451300,0,0,4.34782609,3.84615385,0.90909091
452000,42003452000,0,0,0,0,0
453003,42003453003,0,0,0,0,0
453004,42003453004,1.04166667,0,0,0,0.47393365
455000,42003455000,9.09090909,11.11111111,0,0,6.25
456001,42003456001,0,0,0,0,0
456003,42003456003,1.4084507,4.87804878,0,0,1.72413793
456004,42003456004,1.58730159,0,0,0,0.61349693
457100,42003457100,0,0,,9.09090909,2.5
457200,42003457200,0,0,0,0,0
458000,42003458000,0,0,0,0,0
459101,42003459101,0,0,0,0,0
459102,42003459102,2.35294118,0,0,4,1.66666667
459201,42003459201,2.12765957,2.63157895,8,0,2.64550265
459202,42003459202,,,0,,
460001,42003460001,0,0,0,0,0
460002,42003460002,0,0,0,0,0
461000,42003461000,0,0,20,0,3.03030303
462100,42003462100,1.81818182,0,0,4.76190476,1.67597765
462600,42003462600,3.8961039,2.85714286,3.38983051,8.06451613,4.47761194
463900,42003463900,1.72413793,2.12765957,7.89473684,4.65116279,3.76344086
464300,42003464300,0,8,0,0,1.73913043
464400,42003464400,3.84615385,0,5.40540541,1.06382979,2.44565217
465600,42003465600,11.11111111,14.28571429,0,0,7.04225352
465800,42003465800,9.09090909,4,0,3.57142857,5.26315789
468700,42003468700,0,0,0,0,0
468800,42003468800,3.22580645,9.09090909,2.5,0,3.22580645
468900,42003468900,3.44827586,4.87804878,2.56410256,0,2.55102041
469000,42003469000,0,0,0,0,0
470300,42003470300,0,0,0,0,0
470400,42003470400,0,0,0,0,0
470501,42003470501,18.51851852,12,7.69230769,2.98507463,9.72972973
470502,42003470502,0,0,0,0,0
470600,42003470600,0,0,12.5,2.77777778,2.63157895
471000,42003471000,0,0,0,0,0
472100,42003472100,3.33333333,0,0,4.76190476,2.04081633
472200,42003472200,0,3.57142857,0,5.55555556,2.10526316
472300,42003472300,0,4.16666667,5,0,2.17391304
472400,42003472400,0,0,0,0,0
473100,42003473100,0.99009901,0,0,0,0.46082949
473200,42003473200,0,0,3.84615385,5.26315789,1.5503876
473300,42003473300,0,1.47058824,1.4084507,0,0.64308682
473401,42003473401,2.3255814,0,0,0,0.81967213
473402,42003473402,0,0,0,0,0
473500,42003473500,0,0,0,0,0
473601,42003473601,0,0,0,0,0
473602,42003473602,0,0,0,0,0
474101,42003474101,1.66666667,7.5,0,0,2.3255814
474102,42003474102,0,0,0,0,0
474201,42003474201,0,0,0,0,0
474202,42003474202,1.69491525,0,0,0,0.55865922
474203,42003474203,0,2.63157895,0,0,0.52631579
475101,42003475101,0,0,0,0,0
475102,42003475102,0,0,0,11.11111111,1.63934426
475200,42003475200,0,1.88679245,0,0,0.48780488
475301,42003475301,0,0,0,0,0
475303,42003475303,1.33333333,0,0,0,0.60240964
475304,42003475304,0,0,0,0,0
475401,42003475401,0,0,0,0,0
475402,42003475402,0,3.33333333,0,0,0.86956522
476100,42003476100,0,0,0,3.125,0.78431373
476200,42003476200,0,0,0,0,0
477100,42003477100,1.5625,0,0,0,0.45248869
477200,42003477200,0,3.33333333,1.4084507,0,1.13636364
477300,42003477300,2.3923445,2.42718447,1.04166667,2.06185567,1.99750312
478100,42003478100,3.37078652,5.76923077,3.125,2.35294118,3.74331551
478200,42003478200,2.36220472,0.84745763,0,2.06185567,1.31291028
479000,42003479000,3.44827586,0,0,0,1.28205128
480101,42003480101,1.8404908,1.30718954,1.58730159,2.38095238,1.76056338
480102,42003480102,0,0,0,2.17391304,0.55865922
480200,42003480200,1.2345679,0,0,0,0.36101083
480300,42003480300,1.25,1.28205128,0,1.69491525,1.11940299
480400,42003480400,0,1.49253731,0,0,0.38314176
481000,42003481000,10.60606061,9.09090909,9.09090909,8,9.15492958
482500,42003482500,0,0,4.54545455,0,1.13636364
483800,42003483800,5.55555556,9.52380952,7.69230769,4.44444444,6.89655172
484300,42003484300,0,5.88235294,2.17391304,1.66666667,2.29357798
484500,42003484500,0,0,0,0,0
484600,42003484600,0,3.57142857,0,0,0.84745763
485000,42003485000,9.67741935,0,0,0,3.57142857
486700,42003486700,1.5625,11.29032258,9.30232558,3.07692308,5.98290598
486800,42003486800,5.55555556,3.44827586,8.82352941,9.375,6.87022901
486900,42003486900,0,0,8,0,1.58730159
487000,42003487000,4.76190476,0,0,0,1.2195122
488100,42003488100,0,0,3.22580645,0,0.96153846
488200,42003488200,1.12359551,2.1978022,1.28205128,2.73972603,1.81268882
488300,42003488300,0,4.76190476,4.34782609,0,2.04081633
488400,42003488400,1.11111111,1.51515152,1.66666667,1.53846154,1.42348754
488500,42003488500,2.12765957,2.63157895,0,2.77777778,1.94805195
488600,42003488600,0.96153846,0,0,1.25,0.57803468
489001,42003489001,0.96153846,0,0,0,0.33670034
489002,42003489002,0,0,0,0,0
490002,42003490002,0,0,0,0,0
490003,42003490003,0,1.81818182,0,0,0.54644809
490004,42003490004,0,0,0,0,0
491101,42003491101,0,0,0,0,0
491200,42003491200,0,0,0,0,0
492700,42003492700,0,2.77777778,5.55555556,2.5,2.68456376
492800,42003492800,2.63157895,3.77358491,0,5.97014925,3.2
492900,42003492900,0,0,0,1.49253731,0.39370079
494000,42003494000,4.54545455,8.33333333,0,0,3.15789474
495000,42003495000,2.12765957,3.22580645,3.84615385,0,2.23880597
496101,42003496101,0,0,0,0,0
496102,42003496102,0,2,0,0,0.51282051
496200,42003496200,0,2.81690141,0,0,0.72202166
497000,42003497000,,0,0,0,0
498000,42003498000,0,4.54545455,5,0,1.85185185
499300,42003499300,0,0,4.16666667,0,0.99009901
499400,42003499400,0,8.19672131,6.89655172,1.75438596,4.21940928
500300,42003500300,0,3.27868852,4.44444444,0,1.73913043
501000,42003501000,10.52631579,4.16666667,18.75,0,8.82352941
503002,42003503002,0,4.44444444,0,0,1.10497238
504100,42003504100,0.93457944,1.12359551,0,1.14942529,0.84269663
507000,42003507000,3.33333333,6.66666667,9.09090909,6.66666667,6.25
508000,42003508000,8.57142857,6.25,0,5.40540541,4.90797546
509400,42003509400,8.10810811,6.60377358,5.76923077,6.41025641,6.76691729
510000,42003510000,9.67741935,6.4516129,6.81818182,5.26315789,7.11111111
512000,42003512000,2.63157895,0,3.57142857,3.22580645,2.38095238
512800,42003512800,0,14.70588235,12.5,12,9.21985816
512900,42003512900,0,3.57142857,8.69565217,8,4.71698113
513800,42003513800,8.5106383,6.12244898,9.25925926,4.76190476,7.29166667
514000,42003514000,0,3.03030303,1.85185185,0,1.33928571
515100,42003515100,3.44827586,1.96078431,8.5106383,0,3.48258706
515200,42003515200,3.22580645,6.66666667,3.33333333,6.4516129,4.91803279
515300,42003515300,3.57142857,0,0,4.54545455,2.10526316
515401,42003515401,1.81818182,0,0,0,0.63291139
516100,42003516100,0,0,0,7.14285714,1.14942529
516200,42003516200,2.43902439,4.44444444,3.84615385,0,3.27868852
517000,42003517000,0,3.57142857,0,0,0.82644628
518001,42003518001,0,0,3.44827586,0,0.71428571
519000,42003519000,0,0,0,0,0
520001,42003520001,0,0,2.85714286,0,0.75757576
